time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-08 09:30:00-05:00,Trader,0b05bebe42fb4734af974a543b196da1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-08 09:30:00-05:00,Trader,0b05bebe42fb4734af974a543b196da1,SPY,sell,market,fill,1,gtc,0.0,1,stock,468.42999267578125,107.0,0.0
2024-01-17 09:30:00-05:00,Trader,507436cc45f64b2bb0745debdfa6b539,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,Trader,507436cc45f64b2bb0745debdfa6b539,SPY,sell,market,fill,1,gtc,0.0,1,stock,471.82000732421875,159.0,0.0
2024-02-12 09:30:00-05:00,Trader,aa6fbb14c88c4ab3a40ca3fe8d06d832,SPY,buy,market,new,1,day,0.0,1,stock,,,
2024-02-12 09:30:00-05:00,Trader,715d0fd0dd0a4ad6a86a60e73089b66c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-02-12 09:30:00-05:00,Trader,aa6fbb14c88c4ab3a40ca3fe8d06d832,SPY,buy,market,fill,1,day,0.0,1,stock,501.1700134277344,266.0,0.0
2024-02-12 09:30:00-05:00,Trader,715d0fd0dd0a4ad6a86a60e73089b66c,SPY,buy,market,fill,1,gtc,0.0,1,stock,501.1700134277344,225.0,0.0
