time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-12-30 12:20:00-05:00,Trader,c4944609389e4b03968db6830c9379a7,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,84064.0,0.0
2024-12-30 12:30:00-05:00,Trader,ed95b5a90cd948c4a489e9ed150dd984,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 12:30:00-05:00,Trader,ed95b5a90cd948c4a489e9ed150dd984,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,126096.0,0.0
2024-12-30 12:40:00-05:00,Trader,338b8cc1cfe3422ba45181b257923b24,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 12:40:00-05:00,Trader,338b8cc1cfe3422ba45181b257923b24,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,189144.0,0.0
2024-12-30 12:50:00-05:00,Trader,39f49b0113ca492e8ee7744137c45f92,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 12:50:00-05:00,Trader,39f49b0113ca492e8ee7744137c45f92,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,283716.0,0.0
2024-12-30 13:00:00-05:00,Trader,fe542411a2ca43269af68edfc4f60e47,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 13:00:00-05:00,Trader,fe542411a2ca43269af68edfc4f60e47,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,425574.0,0.0
2024-12-30 13:10:00-05:00,Trader,f9229ccaf5c446bba8f7dbcfd3637767,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 13:10:00-05:00,Trader,f9229ccaf5c446bba8f7dbcfd3637767,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,638361.0,0.0
2024-12-30 13:20:00-05:00,Trader,d0770090bb4e4b849005985d3d81f7c1,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 13:20:00-05:00,Trader,d0770090bb4e4b849005985d3d81f7c1,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,957542.0,0.0
2024-12-30 13:30:00-05:00,Trader,eb3eac1fe9f04541ab53d5ab78c4a204,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 13:30:00-05:00,Trader,eb3eac1fe9f04541ab53d5ab78c4a204,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,1436313.0,0.0
2024-12-30 13:40:00-05:00,Trader,a704e61c33374887a048142c315c353d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
