time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-12-16 09:30:00-05:00,Trader,785de66cb70c4c3b819fd7bedd27776c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-12-16 09:30:00-05:00,Trader,785de66cb70c4c3b819fd7bedd27776c,SPY,buy,market,fill,1,gtc,0.0,1,stock,606.0,83.0,0.0
