time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-12-30 09:30:00-05:00,Trader,0eaba41d95fd4ecb91113a4a481c9edc,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-12-30 09:30:00-05:00,Trader,0eaba41d95fd4ecb91113a4a481c9edc,SPY,sell,market,fill,1,gtc,0.0,1,stock,587.8900146484375,85.0,0.0
